increases^ADP-ribosylation	aroclor 1242	DPP4	0.7279474932937622	
increases^glucuronidation	13-hydroperoxy-9,11-octadecadienoic acid	TIPARP	0.7279077768325806
increases^glucuronidation	phosphoramidon	TIPARP	0.7279077768325806
increases^glucuronidation	Dichlorophen	TMPRSS4	0.7279070019721985
increases^glucuronidation	genistin	TMPRSS4	0.7279070019721985
increases^glucuronidation	emamectin benzoate	TIPARP	0.727904200553894
increases^glucuronidation	SCH 51866	TIPARP	0.727904200553894
increases^glucuronidation	Hexachlorophene	TIPARP	0.727904200553894
increases^glucuronidation	eriodictyol	TIPARP	0.727904200553894
increases^glucuronidation	spinetoram	TIPARP	0.727904200553894
increases^glucuronidation	Gallic Acid	TIPARP	0.727904200553894
increases^glucuronidation	1-(4-hydroxyiminomethylpyridinium)-3-pyridiniumpropane	TMPRSS4	0.7279027700424194
increases^glucuronidation	1,6-dichlorosucrose	TMPRSS4	0.7279025316238403
decreases^secretion	bilobalide	TIPARP	0.7279007434844971
increases^glucuronidation	2-amino-6-borono-2-(difluoromethyl)hexanoic acid	TIPARP	0.7279003858566284
decreases^secretion	rhodocytin protein, Calloselasma rhodostoma	TIPARP	0.7279003858566284
decreases^secretion	CP 94253	TIPARP	0.7279003858566284
decreases^secretion	tungstate	TMPRSS4	0.7278968691825867
decreases^secretion	calpain inhibitor III	TIPARP	0.7278963327407837
decreases^secretion	sulindac sulfone	TIPARP	0.7278963327407837
decreases^secretion	PD 0325901	TIPARP	0.7278963327407837
decreases^secretion	oxcarbamazepine	TIPARP	0.7278963327407837
decreases^secretion	benzylamphetamine	TIPARP	0.7278963327407837
decreases^secretion	MCS-18	TIPARP	0.7278963327407837
increases^glucuronidation	Benzoates	TIPARP	0.7278956174850464
increases^glucuronidation	Loxapine	TIPARP	0.7278956174850464
increases^glucuronidation	6-O-palmitoylascorbic acid	TMPRSS4	0.7278956174850464
decreases^secretion	Pheniramine	DPP4	0.7278928160667419
decreases^secretion	Naltrexone	TMPRSS4	0.727892279624939
decreases^secretion	FG 7142	TMPRSS4	0.727892279624939
increases^glucuronidation	Carbanilides	TMPRSS4	0.7278913259506226
increases^glucuronidation	Methazolamide	TMPRSS4	0.7278913259506226
increases^glucuronidation	thiocholchicine	TMPRSS4	0.7278913259506226
increases^glucuronidation	4-tert-octylcatechol	TMPRSS4	0.7278913259506226
increases^glucuronidation	4-nitro-3-(octanoyloxy)benzoic acid	TMPRSS4	0.7278913259506226
increases^glucuronidation	Carteolol	TIPARP	0.7278887629508972
decreases^secretion	chromic phosphate	TMPRSS4	0.7278884053230286
decreases^secretion	carprofen	TIPARP	0.727888286113739
decreases^secretion	diethylthiourea	TIPARP	0.727887749671936
decreases^secretion	Nitrofurantoin	TIPARP	0.727887749671936
increases^glucuronidation	L796778	TIPARP	0.7278876900672913
increases^glucuronidation	phenylpyruvic acid	TIPARP	0.7278876900672913
increases^glucuronidation	quinocetone	TMPRSS4	0.727886438369751
increases^glucuronidation	2-amino-6-borono-2-(difluoromethyl)hexanoic acid	TMPRSS4	0.727886438369751
increases^glucuronidation	tetralol	TMPRSS4	0.727886438369751
decreases^secretion	4-hydroxypropranolol	DPP4	0.7278851270675659
decreases^secretion	Gallamine Triethiodide	DPP4	0.7278848886489868
increases^glucuronidation	alpha-hydroxyisocaproic acid	TMPRSS4	0.727882981300354
decreases^secretion	LF 16.0335	TIPARP	0.727881133556366
decreases^secretion	propyleneimine	DPP4	0.7278797030448914
decreases^secretion	SCH 351591	DPP4	0.7278762459754944
decreases^secretion	aceanthrylene	TIPARP	0.7278760075569153
decreases^secretion	Harmaline	TIPARP	0.7278760075569153
decreases^secretion	Cytidine Triphosphate	TIPARP	0.7278760075569153
decreases^secretion	Azacitidine	DPP4	0.7278758883476257
decreases^secretion	RB 101	DPP4	0.7278758883476257
decreases^secretion	Pentanones	DPP4	0.7278758883476257
increases^glucuronidation	1-aminobenzotriazole	TMPRSS4	0.7278743982315063
decreases^secretion	carprofen	DPP4	0.727874219417572
decreases^secretion	diethylthiourea	DPP4	0.7278737425804138
increases^glucuronidation	L796778	TMPRSS4	0.7278737425804138
increases^glucuronidation	malvin	TIPARP	0.7278720736503601
increases^glucuronidation	Saquinavir	TIPARP	0.7278720736503601
decreases^secretion	benefin	DPP4	0.7278716564178467
decreases^secretion	Ginsenosides	DPP4	0.7278666496276855
decreases^secretion	chlorphenesin carbamate	DPP4	0.727865993976593
decreases^secretion	3-demethylubiquinone Q2	DPP4	0.727865993976593
decreases^secretion	mepirodipine	DPP4	0.727865993976593
decreases^secretion	Pyridoxal Phosphate	DPP4	0.727865993976593
decreases^secretion	N(1),N(11)-diethylnorspermine	DPP4	0.727865993976593
decreases^secretion	Ketorolac	DPP4	0.727865993976593
decreases^secretion	5-(N,N-dimethylaminomethyl)-3-(4-nitrophenyl)-4,5-dihydroisoxazole	DPP4	0.727865993976593
decreases^secretion	di-n-butyl-2,2-dichlorovinyl phosphate	DPP4	0.727865993976593
decreases^secretion	aceanthrylene	DPP4	0.7278618812561035
decreases^secretion	Cytidine Triphosphate	DPP4	0.7278618812561035
decreases^secretion	tungstate	DPP4	0.7278594374656677
decreases^secretion	FG 7142	DPP4	0.7278547286987305
decreases^secretion	Platinum	TMPRSS11A	0.7278532981872559
decreases^secretion	1,3-dipropyl-8-cyclopentylxanthine	TMPRSS11A	0.7278532981872559
decreases^secretion	BW 245C	TMPRSS11A	0.7278532981872559
decreases^secretion	4-aminoethylamino-emodin	DPP4	0.7278507351875305
decreases^secretion	chromic phosphate	DPP4	0.7278507351875305
decreases^secretion	indol-3-yl pyruvic acid	DPP4	0.7278479933738708
decreases^secretion	2-cresol	TMPRSS11A	0.7278419733047485
decreases^secretion	methylbromfenvinphos	TMPRSS11A	0.7278391122817993
decreases^secretion	(E)-4-((2-N-(4-methoxybenzenesulfonyl)amino)stilbazole)1-oxide	TMPRSS11A	0.7278361916542053
decreases^secretion	Guanosine Monophosphate	TMPRSS11A	0.7278361916542053
decreases^secretion	hexachlorocyclopentadiene	TMPRSS11A	0.7278361916542053
decreases^secretion	Dichlorodiphenyl Dichloroethylene	TMPRSS11A	0.7278361916542053
decreases^secretion	2-hydroxyphenylacetic acid	TMPRSS11A	0.7278361916542053
decreases^secretion	alliin	TMPRSS11A	0.727835476398468
decreases^secretion	1-hydroxymethylmidazolam glucuronide	TMPRSS11A	0.727835476398468
decreases^secretion	11-hydroxy-5,8,12,14-eicosatetraenoic acid	TMPRSS11A	0.7278279662132263
decreases^secretion	LCS101	TMPRSS11A	0.7278279662132263
decreases^secretion	Gallamine Triethiodide	TMPRSS11A	0.7278274893760681
decreases^secretion	4-hydroxypropranolol	TMPRSS11A	0.7278274893760681
decreases^secretion	MKC9989	CD9	0.7278268337249756
decreases^secretion	diethylthiourea	TMPRSS11A	0.7278162837028503
decreases^secretion	Nitrofurantoin	TMPRSS11A	0.7278162837028503
decreases^secretion	Ginsenosides	TMPRSS11A	0.727808952331543
decreases^secretion	4-tert-butylcyclohexyl acetate	TMPRSS2	0.7278032898902893
decreases^secretion	(1-(4-fluorophenyl)-4a-methyl-5,6,7,8-tetrahydro-4H-benzo(f)indazol-5-yl)-(4-(trifluoromethyl)phenyl)methanol	TMPRSS2	0.7278032898902893
decreases^secretion	oblimersen	TMPRSS2	0.7278028130531311
decreases^secretion	2-cresol	TMPRSS2	0.7278028130531311
decreases^secretion	anatoxin a	TMPRSS2	0.7278028130531311
increases^glucuronidation	C-Peptide	TMPRSS11A	0.727796733379364
decreases^secretion	Lynestrenol	CD9	0.7277921438217163
increases^glucuronidation	sulotroban	TMPRSS11A	0.7277920842170715
decreases^secretion	eutigoside C	TMPRSS2	0.7277881503105164
decreases^secretion	cinchonine	TMPRSS2	0.7277881503105164
decreases^secretion	malvidin-3-glucoside	TMPRSS2	0.7277881503105164
decreases^secretion	4-hydroxypropranolol	TMPRSS2	0.7277880907058716
increases^glucuronidation	bisphenol A glucuronide	TMPRSS11A	0.7277868986129761
increases^glucuronidation	fenamiphos	TMPRSS11A	0.7277868986129761
increases^glucuronidation	pyridoxal phosphate gamma-glutamyl hydrazone	TMPRSS11A	0.7277868986129761
increases^glucuronidation	ML 204	TMPRSS11A	0.7277868986129761
increases^glucuronidation	beta-Lactams	TMPRSS11A	0.7277868986129761
decreases^secretion	(1-(4-fluorophenyl)-4a-methyl-5,6,7,8-tetrahydro-4H-benzo(f)indazol-5-yl)-(4-(trifluoromethyl)phenyl)methanol	CD9	0.7277810573577881
increases^glucuronidation	difenoconazole	TMPRSS11A	0.7277795076370239
decreases^secretion	sodium persulfate	CD9	0.7277782559394836
decreases^secretion	2,6-di-tert-butyl-4-methylene-2,5-cyclohexadienone	TMPRSS2	0.7277777791023254
decreases^secretion	JTE 607	TMPRSS2	0.7277777791023254
decreases^secretion	1,25(OH)2-16-ene-23-yne-26,27-hexafluoro-19-nor-D3	CD9	0.7277751564979553
decreases^secretion	Chlorambucil	CD9	0.7277751564979553
decreases^secretion	cobalt ferrite	CD9	0.7277751564979553
decreases^secretion	2-amino-5-nitrophenol	CD9	0.7277751564979553
decreases^secretion	N-(5-methylisoxazol-3-yl)-2-(4-(thiophen-2-yl)-6-(trifluoromethyl)pyrimidin-2-ylthio)acetamide	TMPRSS2	0.7277747988700867
decreases^secretion	benefin	TMPRSS2	0.7277747988700867
decreases^secretion	1-hydroxymethylmidazolam glucuronide	CD9	0.7277739644050598
decreases^secretion	Pheniramine	CD9	0.7277739644050598
decreases^secretion	Ginsenosides	TMPRSS2	0.7277695536613464
decreases^secretion	bilobalide	CD9	0.7277683615684509
decreases^secretion	Cuprizone	CD9	0.7277669310569763
decreases^secretion	4-hydroxypropranolol	CD9	0.7277659177780151
decreases^secretion	benzo(a)pyrene diolepoxide I	CD9	0.7277604341506958
decreases^secretion	Naltrexone	TMPRSS2	0.7277576923370361
decreases^secretion	FG 7142	TMPRSS2	0.7277576923370361
decreases^secretion	SCH 351591	CD9	0.7277570962905884
decreases^secretion	carprofen	CD9	0.7277551293373108
increases^glucuronidation	LDN 57444	CD9	0.7277460694313049
increases^glucuronidation	7-hydroxycoumarin	CD9	0.7277460694313049
increases^glucuronidation	cyclo-L-glycyl-L-2-allylproline	CD9	0.7277460694313049
decreases^secretion	indol-3-yl pyruvic acid	CD9	0.7277284264564514
increases^glucuronidation	1,6-dichlorosucrose	CD9	0.7277251482009888
increases^glucuronidation	9-hydroxy-10,12-octadecadienoic acid	CD9	0.7277251482009888
increases^glucuronidation	fucoidan	CD9	0.7277205586433411
increases^glucuronidation	5,6,7-trimethoxyflavone	CD9	0.7277205586433411
increases^glucuronidation	pentedrone	CD9	0.727717936038971
increases^glucuronidation	phosphoramidon	CD9	0.7277160882949829
increases^glucuronidation	chloramine-T	CD9	0.7277160882949829
increases^glucuronidation	Adiponectin	CD9	0.7277095317840576
increases^glucuronidation	potassium superoxide	CD9	0.7277095317840576
increases^glucuronidation	aceclidine	CD9	0.7277095317840576
increases^glucuronidation	poly-N-4-vinylbenzyllactonamide	CD9	0.7277095317840576
increases^glucuronidation	sulotroban	CD9	0.7277090549468994
increases^glucuronidation	3-methoxytyramine	CD9	0.7277047634124756
increases^glucuronidation	Loxapine	CD9	0.727703332901001
increases^glucuronidation	thyroxine glucuronide	TMPRSS2	0.7277019023895264
increases^glucuronidation	copper-thiosemicarbazone complex	TMPRSS2	0.7276999950408936
increases^glucuronidation	8-(dicyclopropylmethyl)-1,3-dipropylxanthine	TMPRSS2	0.7276999950408936
increases^glucuronidation	Anthracyclines	TMPRSS2	0.7276958227157593
increases^glucuronidation	SA 4503	TMPRSS2	0.7276958227157593
increases^glucuronidation	LDN 57444	TMPRSS2	0.7276954054832458
increases^glucuronidation	cyclo-L-glycyl-L-2-allylproline	TMPRSS2	0.7276954054832458
increases^glucuronidation	L796778	CD9	0.7276950478553772
increases^glucuronidation	phenylpyruvic acid	CD9	0.7276950478553772
increases^glucuronidation	4-aminophenylarsenoxide	TMPRSS2	0.7276899218559265
increases^glucuronidation	Zineb	TMPRSS2	0.727685809135437
increases^glucuronidation	NS 1652	CD9	0.7276808023452759
increases^glucuronidation	malvin	CD9	0.7276787757873535
increases^glucuronidation	Saquinavir	CD9	0.7276787757873535
increases^glucuronidation	N-(3-chlorophenyl)-2-(4-((2,4-dioxothiazolidin-5-ylidene)methyl)phenoxy)acetamide	TMPRSS2	0.7276751399040222
increases^glucuronidation	1,2,7,8-tetrachlorodibenzofuran	TMPRSS2	0.7276751399040222
increases^glucuronidation	procyanidin B2	TMPRSS2	0.7276751399040222
increases^glucuronidation	acetyl tert-butyl dimethylindan	TMPRSS2	0.7276751399040222
increases^glucuronidation	SMe1EC2	TMPRSS2	0.7276751399040222
increases^glucuronidation	1-(4-hydroxyiminomethylpyridinium)-3-pyridiniumpropane	TMPRSS2	0.7276746034622192
increases^glucuronidation	entinostat	TMPRSS2	0.7276746034622192
increases^glucuronidation	JTP 4819	TMPRSS2	0.7276732325553894
increases^glucuronidation	Semaxinib	TMPRSS2	0.7276696562767029
increases^glucuronidation	5,6,7-trimethoxyflavone	TMPRSS2	0.7276696562767029
increases^glucuronidation	6-O-palmitoylascorbic acid	TMPRSS2	0.7276670336723328
decreases^cleavage	gallium-transferrin complex	TIPARP	0.7261766195297241
decreases^cleavage	indoleacetic acid	TMPRSS4	0.7261741161346436
decreases^cleavage	spiraeoside	TIPARP	0.7261715531349182
decreases^cleavage	4-(E)-((p-tolylimino)-methylbenzene-1,2-diol)	TIPARP	0.7261715531349182
decreases^cleavage	Temozolomide	TIPARP	0.7261699438095093
decreases^cleavage	Tapentadol	TIPARP	0.7261697053909302
decreases^cleavage	(1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane	TIPARP	0.7261697053909302
decreases^cleavage	PQ 401	TIPARP	0.7261685132980347
decreases^cleavage	fomocain	TIPARP	0.7261684536933899
decreases^cleavage	Succinylcholine	TMPRSS4	0.7261682152748108
decreases^cleavage	Enzymes and Coenzymes	TMPRSS4	0.7261682152748108
decreases^cleavage	NC 1900	TMPRSS4	0.7261682152748108
decreases^cleavage	3-acetyl-7-methoxycoumarin	TIPARP	0.7261669635772705
decreases^cleavage	Organothiophosphates	TIPARP	0.7261669635772705
decreases^cleavage	urapidil	TIPARP	0.7261669635772705
decreases^cleavage	Methylprednisolone Acetate	TIPARP	0.7261669635772705
decreases^cleavage	erucic acid	TIPARP	0.7261669635772705
decreases^cleavage	Hydrogen Cyanide	TIPARP	0.7261669635772705
decreases^cleavage	dicholesteroyl diselenide	TMPRSS4	0.7261664271354675
decreases^cleavage	variegin protein, Amblyomma variegatum	TMPRSS4	0.7261664271354675
decreases^cleavage	flumethrin	TIPARP	0.7261652946472168
decreases^cleavage	CVT-10216	TIPARP	0.7261652946472168
decreases^cleavage	Prodigiosin	TIPARP	0.7261652946472168
decreases^cleavage	ebrotidine	TIPARP	0.726164698600769
decreases^cleavage	S-methyl N,N-diethylthiocarbamate sulfone	TIPARP	0.7261635661125183
decreases^cleavage	lipstatin	DPP4	0.7261634469032288
decreases^cleavage	carbendazim	DPP4	0.7261634469032288
decreases^cleavage	Pteroylpolyglutamic Acids	TMPRSS4	0.7261632680892944
decreases^cleavage	isobutyric acid	TMPRSS4	0.7261632680892944
decreases^cleavage	Acenaphthenes	TMPRSS4	0.7261632680892944
decreases^cleavage	thiodicarb	TMPRSS4	0.7261632680892944
decreases^cleavage	chlorcyclizine	TMPRSS4	0.7261632680892944
decreases^cleavage	2,4,6-triiodophenol	TMPRSS4	0.7261632680892944
decreases^cleavage	apicidin	TMPRSS4	0.7261632680892944
decreases^cleavage	fullerene C60	TMPRSS4	0.7261632680892944
decreases^cleavage	Dopamine Agonists	TMPRSS4	0.7261632680892944
decreases^cleavage	MLN8054	TMPRSS4	0.7261632680892944
decreases^cleavage	Gum Arabic	DPP4	0.7261621356010437
decreases^cleavage	Barbital	TIPARP	0.726161777973175
decreases^cleavage	deuterohemin-alanyl-histidyl-threonyl-valyl-glutamyl-lysine	TMPRSS4	0.7261614203453064
decreases^cleavage	exemestane	TMPRSS4	0.7261602878570557
decreases^cleavage	CVT-10216	TMPRSS4	0.7261596322059631
decreases^cleavage	Prodigiosin	TMPRSS4	0.7261596322059631
decreases^cleavage	gepirone	TIPARP	0.7261592745780945
decreases^cleavage	2-(morpholin-4-yl)benzo(h)chromen-4-one	DPP4	0.7261587381362915
decreases^cleavage	Pentoxifylline	DPP4	0.7261587381362915
decreases^cleavage	Sunitinib	DPP4	0.7261587381362915
decreases^cleavage	N-(2-(2-(2-aminoethoxy)ethoxy)ethyl)-N-butyl-6-decyl-1,3,5-triazine-2,4-diamine	DPP4	0.7261587381362915
decreases^cleavage	Nitroimidazoles	DPP4	0.7261587381362915
decreases^cleavage	imazethapyr	DPP4	0.7261587381362915
decreases^cleavage	7-hydroxyloxapine	DPP4	0.7261587381362915
decreases^cleavage	1-phenazinecarboxylic acid	DPP4	0.7261587381362915
decreases^cleavage	(3,3-dibenzylimidazo(1,2-a)pyridin-2-(3H)-one)	DPP4	0.7261587381362915
decreases^cleavage	Tolperisone	TMPRSS4	0.7261568903923035
decreases^cleavage	Boronic Acids	DPP4	0.7261565923690796
decreases^cleavage	YF 476	TMPRSS4	0.7261560559272766
decreases^cleavage	2-iodobenzenamine	DPP4	0.7261546850204468
decreases^cleavage	JWH-073	TMPRSS4	0.7261545062065125
decreases^cleavage	Tolperisone	DPP4	0.7261538505554199
decreases^cleavage	JWH-073	DPP4	0.7261512875556946
decreases^cleavage	Diflubenzuron	DPP4	0.7261512875556946
decreases^cleavage	Dilazep	DPP4	0.7261504530906677
decreases^cleavage	gepirone	DPP4	0.7261504530906677
decreases^cleavage	tetraarsenic tetrasulfide	TMPRSS11A	0.7260571122169495
decreases^cleavage	Diazinon	TMPRSS11A	0.7260571122169495
decreases^cleavage	5-fluorouridine	TMPRSS11A	0.7260552048683167
decreases^cleavage	benzyloxycarbonyl-isoleucyl-glutamyl(O-tert-butyl)-alanyl-leucinal	TMPRSS11A	0.7260552048683167
decreases^cleavage	CPG-oligonucleotide	TMPRSS11A	0.7260552048683167
decreases^cleavage	Temozolomide	TMPRSS11A	0.726053774356842
decreases^cleavage	schizandrin A	TMPRSS11A	0.7260521054267883
decreases^cleavage	cinnamyl-3,4-dihydroxycyanocinnamate	TMPRSS11A	0.7260521054267883
decreases^cleavage	Quinolones	TMPRSS11A	0.7260521054267883
decreases^cleavage	ethylisopropylamiloride	TMPRSS11A	0.7260521054267883
decreases^cleavage	rebaudioside A	TMPRSS11A	0.7260521054267883
decreases^cleavage	fidarestat	TMPRSS11A	0.7260521054267883
decreases^cleavage	4,5,6,7-tetrabromo-2-azabenzimidazole	TMPRSS11A	0.7260521054267883
decreases^cleavage	Boronic Acids	TMPRSS11A	0.72604900598526
decreases^cleavage	5-oxo-hexahydroquinoline	TMPRSS11A	0.72604900598526
decreases^cleavage	Merbromin	TMPRSS11A	0.7260482907295227
decreases^cleavage	YF 476	TMPRSS11A	0.7260452508926392
decreases^cleavage	Dilazep	TMPRSS11A	0.7260428071022034
decreases^cleavage	kifunensine	CD9	0.7259318232536316
decreases^cleavage	isosakuranetin	CD9	0.7259314656257629
decreases^cleavage	Labetalol	CD9	0.7259308099746704
decreases^cleavage	4-(1-ethylpropoxy)-3,6-dimethyl-2-(2,4,6-trimethylphenoxy)pyridine	CD9	0.7259300947189331
decreases^cleavage	gallium-transferrin complex	CD9	0.7259284257888794
decreases^cleavage	NC 1900	CD9	0.725925624370575
decreases^cleavage	1,2-oleoylphosphatidylcholine	CD9	0.7259255051612854
decreases^cleavage	1-anilino-8-naphthalenesulfonate	CD9	0.7259255051612854
decreases^cleavage	pyrimidin-2-one beta-ribofuranoside	CD9	0.7259255051612854
decreases^cleavage	Ro 41-5253	CD9	0.7259255051612854
decreases^cleavage	Nanotubes, Carbon	CD9	0.7259255051612854
decreases^cleavage	azamulin	CD9	0.7259255051612854
decreases^cleavage	SAD-128	CD9	0.7259255051612854
decreases^cleavage	tetraarsenic tetrasulfide	CD9	0.7259249687194824
decreases^cleavage	carbendazim	CD9	0.7259238362312317
decreases^cleavage	Gum Arabic	CD9	0.7259224057197571
decreases^cleavage	PQ 401	CD9	0.7259199619293213
decreases^cleavage	indoleacetic acid	TMPRSS2	0.7258930802345276
decreases^cleavage	Labetalol	TMPRSS2	0.7258922457695007
decreases^cleavage	AL 8810	TMPRSS2	0.7258914709091187
decreases^cleavage	Polyoxidonium	TMPRSS2	0.7258914709091187
decreases^cleavage	phosphorus chloride	TMPRSS2	0.7258914709091187
decreases^cleavage	4-(1-ethylpropoxy)-3,6-dimethyl-2-(2,4,6-trimethylphenoxy)pyridine	TMPRSS2	0.7258914709091187
decreases^cleavage	Oxidopamine	TMPRSS2	0.7258853316307068
decreases^cleavage	D-161 compound	TMPRSS2	0.7258853316307068
decreases^cleavage	Zirconium	TMPRSS2	0.7258853316307068
decreases^cleavage	3,4-di-O-caffeoylquinic acid	TMPRSS2	0.7258853316307068
decreases^cleavage	triacsin C	TMPRSS2	0.7258853316307068
decreases^cleavage	Silicon Compounds	TMPRSS2	0.7258853316307068
decreases^cleavage	biochanin A	TMPRSS2	0.7258853316307068
decreases^cleavage	dicholesteroyl diselenide	TMPRSS2	0.7258850932121277
decreases^cleavage	2-aminoacetophenone	TMPRSS2	0.7258850932121277
decreases^cleavage	variegin protein, Amblyomma variegatum	TMPRSS2	0.7258850932121277
decreases^cleavage	5-fluorouridine	TMPRSS2	0.7258843779563904
decreases^cleavage	benzyloxycarbonyl-isoleucyl-glutamyl(O-tert-butyl)-alanyl-leucinal	TMPRSS2	0.7258843779563904
decreases^cleavage	CPG-oligonucleotide	TMPRSS2	0.7258843779563904
decreases^cleavage	9-methoxycamptothecin	TMPRSS2	0.7258824706077576
affects^reaction	Fusidic Acid	TIPARP	0.7222336530685425
affects^reaction	leukotriene A methyl ester	TIPARP	0.7222217917442322
affects^reaction	SR 144528	TIPARP	0.7222192883491516
affects^reaction	9,12-dioxo-10-dodecenoic acid	TIPARP	0.7222192883491516
affects^reaction	etonitazene	TIPARP	0.7222192883491516
affects^reaction	diacetoxyscirpenol	TIPARP	0.7222192883491516
affects^reaction	ZSTK474	TIPARP	0.7222157716751099
affects^reaction	aucubin	TIPARP	0.7222157716751099
affects^reaction	pirlindole	TIPARP	0.7222157716751099
affects^reaction	Coumaphos	TIPARP	0.7222093343734741
affects^reaction	2-oxohexyl isothiocyanate	TIPARP	0.7222093343734741
affects^reaction	4-(alpha-(4-allyl-2,5-dimethyl-1-piperazinyl)-3-methoxybenzyl)-N,N-diethylbenzamide	TIPARP	0.7222093343734741
affects^reaction	citronellal	TIPARP	0.7222025990486145
affects^reaction	1,3-butadiene	TIPARP	0.7222025990486145
affects^reaction	4-methylene-2-octyl-5-oxofuran-3-carboxylic acid	TIPARP	0.7222025990486145
affects^reaction	Glycyrrhizic Acid	TIPARP	0.7222025990486145
affects^reaction	MR 2266	TIPARP	0.7222025990486145
affects^reaction	2-(3-(1,3-dicarboxypropyl)ureido)pentanedioic acid	TIPARP	0.7221733331680298
affects^reaction	3-O-methylgallic acid	TIPARP	0.7221692800521851
affects^reaction	Iron Carbonyl Compounds	TIPARP	0.7221644520759583
affects^reaction	Amino Acids	TIPARP	0.7221644520759583
affects^reaction	shexiang baoxin	TIPARP	0.7221644520759583
affects^reaction	Ozone	CD9	0.7221643924713135
affects^reaction	fatostatin	TIPARP	0.722160816192627
affects^reaction	chlorodimedone	TIPARP	0.722160816192627
affects^reaction	Glutamic Acid	TMPRSS2	0.7221593260765076
