increases^abundance	Succinic Acid	BCL2	0.73071243563422	
increases^abundance	agathisflavone	BCL2 	0.7303145446231	
increases^abundance	C646 compound	BCL2	0.7303250025749124	
increases^glucuronidation	Calcium, RELA	0.7301309630628967
increases^expression	Ibuprofen	NOS2	0.7296541929244995
increases^glucuronidation	cardanol	BCL2	0.7296451926231384
decreases^secretion	Reactive Oxygen Species	SOD2	0.7296328544616699
increases^glucuronidation	7-benzylamino-5-(2-(hydroxymethyl)propyl)amino-3-isopropyl-1(2)H-pyrazolo(4,3-d)pyrimidine	BAX	0.7296205759048462
decreases^secretion	cypermethrin	AKT1	0.7296205759048462
decreases^secretion	Dietary Carbohydrates	BAX	0.7296191453933716
increases^reaction	gadolinium chloride	ICAM1	0.7296189665794373
increases^expression	Glutethimide	MYC	0.7296032309532166
decreases^response to substance	benzyloxycarbonylleucyl-leucyl-leucine aldehyde	IL1B	0.729597806930542
decreases^response to substance	Staurosporine	MYC	0.7295734286308289
decreases^secretion	SGA 360	CASP8	0.7295722365379333
increases^glucuronidation	2-methyl-4-chlorophenoxy gamma-butyric acid	BAX	0.7295691967010498
increases^expression	Hesperidin	ICAM1	0.7295538783073425
increases^glucuronidation	titanium nitride	CTNNB1	0.729552149772644
increases^glucuronidation	navitoclax	CTNNB1	0.729544460773468
increases^expression	Carbamazepine	S100A9	0.7295417785644531
increases^glucuronidation	salvianolic acid B	AKT1	0.7295259833335876
decreases^secretion	Bibenzyls	BAX	0.7295258641242981
increases^glucuronidation	diacetyldichlorofluorescein	PARP1	0.7295256853103638
increases^glucuronidation	Antioxidants	PTGS2	0.7295184135437012
increases^expression	pelargonic acid	IL1B	0.7295094132423401
increases^response to substance	3-aminobenzamide	SOD2	0.7295074462890625
increases^glucuronidation	ferric-sorbitol-citrate	SOD2	0.7295070290565491
decreases^secretion	beryllium sulfate	PTGS2	0.7295066714286804
increases^glucuronidation	ethylbenzene	APC	0.7295025587081909
decreases^secretion	Cyclic AMP	PARP1	0.7294914126396179
decreases^expression	Ethyl Methanesulfonate	ID3	0.7294898629188538
increases^expression	methyldithiocarbamate	IL1B	0.7294858694076538
increases^glucuronidation	Mitoxantrone	PTGS2	0.729482889175415
increases^expression	perfluorododecanoic acid	NOS2	0.72947096824646
increases^glucuronidation	glutapyrone	VEGFA	0.7294700741767883
increases^glucuronidation	2-(4-((dimethylamino)methyl)benzylidene)-5,6-dimethoxy-2,3-dihydroinden-1-one	TP53	0.7294674515724182
increases^glucuronidation	navitoclax	ACTA2	0.7294629216194153
increases^response to substance	Methylnitrosourea	APC	0.7294629216194153
decreases^secretion	1-dodecylsulfonyl-5N,6O-oxomethylidenenojirimycin	CDKN1A	0.7294607758522034
increases^glucuronidation	nefiracetam	CASP8	0.7294500470161438
decreases^secretion	Aziridines	SOD2	0.7294409275054932
increases^glucuronidation	7-benzylamino-5-(2-(hydroxymethyl)propyl)amino-3-isopropyl-1(2)H-pyrazolo(4,3-d)pyrimidine	CDKN1A	0.7294394969940186
decreases^secretion	alpha-viniferin	TP53	0.7294321060180664
increases^glucuronidation	Brefeldin A	AKT1	0.7294272780418396
increases^expression	Streptozocin	S100A9	0.7294259071350098
decreases^secretion	Thenoyltrifluoroacetone	BAX	0.7294119000434875
increases^expression	Halothane	NOS2	0.7294111847877502
decreases^response to substance	Clioquinol	EGFR	0.7294107675552368
decreases^secretion	Stilbenes	MMP9	0.7294029593467712
increases^glucuronidation	azoxystrobin	TP53	0.7294023633003235
increases^glucuronidation	aurapten	APC	0.729389488697052
decreases^secretion	fascaplysine	PTGS2	0.729384183883667
increases^expression	carnosol	JUN	0.7293834090232849
increases^glucuronidation	glutapyrone	MMP9	0.7293767333030701
increases^expression	nothofagin	NOS2	0.7293756604194641
decreases^secretion	SGA 360	RELA	0.7293685078620911
increases^glucuronidation	cyromazine	CDKN1A	0.7293667197227478
increases^glucuronidation	Iron, Dietary	PARP1	0.7293624877929688
decreases^secretion	Thenoyltrifluoroacetone	CDKN1A	0.7293555736541748
increases^expression	cupric chloride	SPARC	0.729351818561554
decreases^secretion	N-Formylmethionine Leucyl-Phenylalanine	CDKN1A	0.7293493151664734
increases^glucuronidation	SR 48968	CDKN1A	0.7293384075164795
decreases^secretion	Dehydroascorbic Acid	TP53	0.7293344736099243
increases^glucuronidation	DuP 697	CTNNB1	0.7293296456336975
decreases^secretion	1-dodecylsulfonyl-5N,6O-oxomethylidenenojirimycin	TP53	0.7293294072151184
decreases^secretion	dibromoacetic acid	BAX	0.7293148040771484
increases^glucuronidation	1H,1H,2H,2H-perfluorooctan-1-ol	CASP8	0.7293117642402649
increases^glucuronidation	eicosapentaenoic acid ethyl ester	CASP8	0.7293034791946411
increases^metabolic processing	Nitric Oxide	NOS2	0.7292895913124084
increases^glucuronidation	navitoclax	AKT1	0.7292881608009338
decreases^secretion	Clopidogrel	PARP1	0.7292758822441101
decreases^secretion	Bibenzyls	CASP8	0.7292705178260803
decreases^abundance	Ornithine Decarboxylase Inhibitors	ODC1	0.7292686700820923
decreases^secretion	resolvin D1	PTGS2	0.7292678356170654
decreases^secretion	Cyclic AMP	CCND1	0.7292638421058655
increases^response to substance	N-(3-(aminomethyl)benzyl)acetamidine	NOS2	0.7292608618736267
decreases^secretion	Dantrolene	TP53	0.7292590141296387
increases^expression	Acarbose	SLC2A1	0.7292582988739014
increases^glucuronidation	malealdehyde	BAX	0.7292577624320984
increases^glucuronidation	Conotoxins	BAX	0.7292528748512268
increases^glucuronidation	titanium nitride	AKT1	0.729250431060791
increases^glucuronidation	Phenylethyl Alcohol	BAX	0.7292499542236328
increases^glucuronidation	perfluoropropionic acid	BAX	0.7292482256889343
increases^glucuronidation	monobenzone	BAX	0.7292473912239075
increases^glucuronidation	CJX1, amlodipine derivative	BAX	0.729242742061615
increases^glucuronidation	icilin	BAX	0.7292413115501404
increases^expression	Nickel	ODC1	0.7292410135269165
decreases^secretion	64Cu-CB-TE2A-Y3-TATE	CDKN1A	0.7292407751083374
increases^glucuronidation	heraclenin	BAX	0.7292404770851135
increases^glucuronidation	NW 1029	BAX	0.7292348146438599
increases^glucuronidation	Cyclodecanes	BAX	0.7292302250862122
increases^glucuronidation	Janus Kinase Inhibitors	BAX	0.7292270064353943
increases^glucuronidation	AR C155858	BAX	0.7292260527610779
increases^glucuronidation	Aniline Compounds	BAX	0.7292231321334839
increases^expression	Dichloroacetic Acid	IL1RN	0.7292198538780212
increases^glucuronidation	desethylamodiaquine	BAX	0.7292198538780212
increases^glucuronidation	2-(4-((dimethylamino)methyl)benzylidene)-5,6-dimethoxy-2,3-dihydroinden-1-one	MMP9	0.7292196750640869
increases^glucuronidation	1,4-diaminocyclohexane	BAX	0.7292173504829407
increases^glucuronidation	3,5-diiodothyropropionic acid	BAX	0.7292156219482422
decreases^secretion	4-nonylphenol	BAX	0.7292149066925049
increases^glucuronidation	trichlorosucrose	BAX	0.7292041182518005
decreases^secretion	SGA 360	AKT1	0.7292011976242065
decreases^secretion	beryllium sulfate	SOD2	0.7291992902755737
decreases^secretion	Oxytocin	VEGFA	0.7291941046714783
decreases^response to substance	Nitric Oxide	NOS2	0.7291935086250305
decreases^secretion	Rutin	VEGFA	0.7291916608810425
decreases^secretion	4-methylcatechol	VEGFA	0.7291868925094604
increases^glucuronidation	ferric-sorbitol-citrate	HSPB1	0.7291863560676575
increases^response to substance	monomethylarsonous acid	TP53	0.7291859984397888
decreases^secretion	ganoderic acid A	TP53	0.7291795015335083
increases^glucuronidation	Amsacrine	HSPB1	0.7291790246963501
increases^glucuronidation	2-methyl-4-chlorophenoxy gamma-butyric acid	VEGFA	0.7291710376739502
decreases^secretion	4-nonylphenol	PTGS2	0.729170560836792
increases^expression	S,S'-1,4-phenylene-bis(1,2-ethanediyl)bis-isothiourea	NOS2	0.7291660308837891
decreases^secretion	qingre zaoshi liangxue fang	BAX	0.7291632890701294
decreases^secretion	Dietary Carbohydrates	CCND1	0.7291590571403503
decreases^secretion	4-acetylaminofluorene	TP53	0.7291587591171265
increases^reaction	2,3,5-trichloro-6-phenyl-(1,4)benzoquinone	IL1B	0.729155421257019
decreases^secretion	Heptachlor Epoxide	PTGS2	0.7291537523269653
increases^glucuronidation	1H,1H,2H,2H-perfluorooctan-1-ol	SOD2	0.7291525602340698
decreases^secretion	Etodolac	DNMT1	0.7291486263275146
increases^glucuronidation	Diphenhydramine	PARP1	0.7291446328163147
decreases^secretion	Thenoyltrifluoroacetone	CASP8	0.7291431427001953
decreases^secretion	Dequalinium	PARP1	0.7291421890258789
increases^glucuronidation	O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphate	DNMT1	0.729133665561676
increases^reaction	Anisomycin	JUN	0.7291295528411865
increases^glucuronidation	Dehydroepiandrosterone Sulfate	CDKN1A	0.7291280627250671
increases^glucuronidation	glutapyrone	CCND1	0.7291273474693298
decreases^secretion	ar-turmerone	PTGS2	0.7291244268417358
decreases^secretion	Sealapex	CDKN1A	0.7291221022605896
decreases^secretion	OTX015	TP53	0.7291193008422852
decreases^secretion	alpha-viniferin	CCND1	0.7291173934936523
increases^response to substance	Polysaccharides	VEGFA	0.7291169166564941
increases^glucuronidation	1H,1H,2H,2H-perfluorooctan-1-ol	CTNNB1	0.7291120290756226
decreases^secretion	Monensin	CDKN1A	0.7291065454483032
increases^expression	Diethylnitrosamine	S100A9	0.7291063070297241
decreases^secretion	4-acetylaminofluorene	PARP1	0.7291023135185242
increases^glucuronidation	bicyclol	CASP8	0.7291021347045898
increases^glucuronidation	KB 5-21	PTGS2	0.7291015386581421
decreases^secretion	ganoderic acid A	CASP8	0.7291014194488525
decreases^secretion	Leucovorin	CDKN1A	0.7290976047515869
increases^glucuronidation	N-(1-(4-(5-chloro-2-oxo-2,3-dihydro-1H-benzo(d)imidazol-1-yl)piperidin-1-yl)propan-2-yl)-2-naphthamide	VEGFA	0.7290952801704407
increases^glucuronidation	BMS-764459	CTNNB1	0.7290945649147034
decreases^secretion	Rutin	BCL2	0.7290939688682556
increases^glucuronidation	Flupenthixol	BCL2	0.7290918231010437
decreases^secretion	5-(3-(2-(3-hydroxy-4-(3-(trifluoromethyl)phenyl)butyl)-5-oxopyrrolidin-1-yl)propyl)thiophene-2-carboxylate	BAX	0.7290771007537842
decreases^secretion	qingre zaoshi liangxue fang	CDKN1A	0.7290753126144409
decreases^secretion	fosthiazate	BAX	0.7290726900100708
decreases^secretion	atranorin	ACTA2	0.7290661931037903
decreases^secretion	drotaverin	BAX	0.7290651798248291
decreases^secretion	Pyrantel Pamoate	BAX	0.7290633916854858
increases^glucuronidation	N-hydroxy-2-aminofluorene	PTGS2	0.7290623188018799
decreases^secretion	13beta-methyl 19-nor-steroid	BAX	0.7290604114532471
increases^glucuronidation	secramine A	CDKN1A	0.7290600538253784
increases^glucuronidation	valnoctamide	PTGS2	0.7290593385696411
increases^glucuronidation	Enkephalin, Ala(2)-MePhe(4)-Gly(5)-	PTGS2	0.7290571928024292
increases^glucuronidation	cifenline	PTGS2	0.7290566563606262
decreases^secretion	glucuronolactone	BAX	0.7290555834770203
decreases^secretion	SB 243213	BAX	0.7290551066398621
decreases^secretion	N-(1-(2,3-dimethoxyphenyl)-4-methyl-3-penten-1-yl)-1-(5-bromofurfuryl)-1-piperidyl-4-amine	BAX	0.7290538549423218
increases^glucuronidation	4-chloroestradiol	PTGS2	0.7290535569190979
decreases^secretion	Congo Red	BAX	0.7290521860122681
decreases^secretion	Aziridines	APC	0.7290497422218323
increases^glucuronidation	N-((4-dimethylaminophenyl)methyl)-N-(4-isopropylphenyl)-7-methoxy-1,2,3,4-tetrahydronaphthalen-1-carboxamide	PTGS2	0.7290496230125427
decreases^secretion	carboxyamido-triazole	BCL2	0.729049026966095
decreases^secretion	CB 403	BAX	0.7290488481521606
increases^glucuronidation	Abbott 29590	PTGS2	0.7290478944778442
increases^glucuronidation	Amsacrine	APC	0.729046642780304
increases^glucuronidation	N-(2-(m-methoxyphenyl)ethyl)-N-ethyl-2-(1-pyrrolidinyl)ethylamine	PTGS2	0.7290461659431458
decreases^secretion	hydroxyflutamide	PTGS2	0.7290459275245667
increases^glucuronidation	tranilast	PTGS2	0.7290457487106323
decreases^expression	geraniol	BIRC5	0.729045569896698
increases^glucuronidation	cyromazine	MMP9	0.7290449142456055
decreases^secretion	N,O-didesmethylvenlafaxine	BAX	0.7290439009666443
decreases^secretion	metribuzin	BAX	0.7290425896644592
decreases^secretion	26,26,26,27,27,27-hexafluoro-1,25-dihydroxyvitamin D3	BAX	0.7290418744087219
increases^glucuronidation	CC-8490	APC	0.7290372252464294
decreases^secretion	crotonyl alcohol	BAX	0.7290339469909668
decreases^secretion	Ritanserin	BAX	0.7290332913398743
decreases^secretion	NuvaRing	BAX	0.7290327548980713
increases^glucuronidation	dimethyl mercury	PTGS2	0.7290315628051758
decreases^secretion	20,21-epoxyresibufogenin-3-formate	BAX	0.729030966758728
decreases^secretion	fusaproliferin	BAX	0.729030191898346
increases^glucuronidation	parthenocissin A	CDKN1A	0.7290272116661072
increases^glucuronidation	Flupenthixol	ACTA2	0.7290270924568176
decreases^secretion	dibromoacetic acid	PARP1	0.7290234565734863
decreases^secretion	13beta-methyl 19-nor-steroid	PTGS2	0.729020357131958
decreases^secretion	1,2,3,6,7,8-hexachlorodibenzodioxin	PTGS2	0.7290195822715759
increases^glucuronidation	H 35-25	PTGS2	0.7290194034576416
decreases^secretion	EGTA acetoxymethyl ester	CASP8	0.7290176153182983
decreases^secretion	pemirolast	BAX	0.7290158867835999
decreases^secretion	resolvin D1	CASP8	0.7290151715278625
decreases^secretion	perfluoro-n-heptanoic acid	PTGS2	0.729015052318573
increases^glucuronidation	8-(3-(2-chloro-10H-phenothiazin-10-yl)propyl)-1-thia-4,8-diazaspiro(4.5)decan-3-one	CDKN1A	0.7290145754814148
decreases^secretion	N-(1-(2,3-dimethoxyphenyl)-4-methyl-3-penten-1-yl)-1-(5-bromofurfuryl)-1-piperidyl-4-amine	PTGS2	0.7290137410163879
increases^glucuronidation	N-(1-(4-(5-chloro-2-oxo-2,3-dihydro-1H-benzo(d)imidazol-1-yl)piperidin-1-yl)propan-2-yl)-2-naphthamide	CASP8	0.729013204574585
decreases^secretion	Bibenzyls	RELA	0.729009211063385
decreases^secretion	ZD4054	BAX	0.7290087342262268
decreases^secretion	LY 171883	PTGS2	0.7290080189704895
decreases^secretion	Trabectedin	PTGS2	0.7290034890174866
increases^glucuronidation	dimethyl mercury	CDKN1A	0.7290019989013672
increases^glucuronidation	1,2-dipalmitoylphosphatidylglycerol	CDKN1A	0.7290003895759583
increases^glucuronidation	Lomustine	CTNNB1	0.7289989590644836
decreases^secretion	cholesteryl arachidonate	PTGS2	0.7289978265762329
affects^methylation	hydroquinone	TP53	0.7289958000183105
decreases^secretion	2-oleoylglycerol	BAX	0.7289952635765076
increases^glucuronidation	1,4-diaminocyclohexane	CDKN1A	0.7289928793907166
decreases^secretion	Xanthones	BAX	0.7289913296699524
increases^glucuronidation	1-nitropyrene-9,10-oxide	RELA	0.7289907932281494
decreases^secretion	fusaproliferin	PTGS2	0.7289901375770569
increases^glucuronidation	adavosertib	BAX	0.7289878129959106
decreases^secretion	Rutin	CCND1	0.7289851307868958
decreases^secretion	NP00111	PTGS2	0.7289849519729614
increases^glucuronidation	VX680	CDKN1A	0.7289817929267883
decreases^secretion	atranorin	CTNNB1	0.728978157043457
increases^glucuronidation	malealdehyde	TP53	0.7289770841598511
decreases^secretion	cephaelin	CASP8	0.7289753556251526
decreases^secretion	bradykinin, Leu(8)-des-Arg(9)-	CDKN1A	0.7289738059043884
increases^glucuronidation	cifenline	RELA	0.7289722561836243
decreases^secretion	methyl isothiocyanate	PTGS2	0.728971540927887
decreases^secretion	3,5-dicarbethoxy-2,6-dimethyl-4-ethyl-1,4-dihydropyridine	PTGS2	0.7289710640907288
increases^expression	Pyridostigmine Bromide	CXCL10	0.7289705276489258
increases^glucuronidation	monobenzone	RELA	0.7289699912071228
increases^glucuronidation	N-methyl-N-nitrosoaniline	TP53	0.7289685010910034
increases^glucuronidation	Enkephalin, Ala(2)-MePhe(4)-Gly(5)-	TP53	0.7289683222770691
increases^glucuronidation	Strontium-90	RELA	0.7289673686027527
increases^glucuronidation	Phenalenes	TP53	0.7289668321609497
decreases^secretion	4-chloro-2-(imidazolin-2-yl)isoindoline	PTGS2	0.7289655208587646
decreases^secretion	bromotriethylstannane	CDKN1A	0.7289652824401855
increases^glucuronidation	flazolone	TP53	0.7289648056030273
decreases^secretion	tetradifon	CDKN1A	0.728962779045105
decreases^secretion	drotaverin	CDKN1A	0.7289624214172363
increases^glucuronidation	Strontium-90	TP53	0.728962242603302
increases^glucuronidation	tranilast	RELA	0.7289610505104065
decreases^secretion	13beta-methyl 19-nor-steroid	CDKN1A	0.7289572954177856
increases^glucuronidation	tranilast	TP53	0.7289564609527588
increases^glucuronidation	XI-006	TP53	0.7289556860923767
decreases^expression	RTKI cpd	BIRC5	0.7289551496505737
increases^glucuronidation	etoposide phosphate	TP53	0.7289546728134155
increases^glucuronidation	9-(3-hydroxy-2-phosphonylmethoxypropyl)adenine	TP53	0.7289543151855469
increases^glucuronidation	Lasalocid	RELA	0.7289534211158752
decreases^secretion	thiphenamil	CDKN1A	0.7289533019065857
increases^glucuronidation	Aminocaproic Acid	RELA	0.7289531826972961
increases^glucuronidation	15-hydroxytestosterone	TP53	0.7289514541625977
increases^glucuronidation	Cyclodecanes	RELA	0.7289509773254395
increases^glucuronidation	13-cis-retinal	TP53	0.7289506196975708
increases^glucuronidation	Lasalocid	TP53	0.728949248790741
decreases^secretion	Congo Red	CDKN1A	0.7289485931396484
decreases^secretion	benzene 1,2,4-trisphosphate	CDKN1A	0.7289483547210693
increases^glucuronidation	P61A6 compound	RELA	0.7289482951164246
increases^glucuronidation	nomegestrol acetate	RELA	0.7289464473724365
increases^glucuronidation	nafamostat	RELA	0.7289462089538574
increases^glucuronidation	RN 1734	RELA	0.7289453744888306
increases^glucuronidation	MEN 11270	RELA	0.7289442420005798
increases^glucuronidation	nafamostat	TP53	0.728941798210144
increases^glucuronidation	methylmercury cysteine	ACTA2	0.7289398312568665
increases^glucuronidation	MEN 11270	TP53	0.7289397716522217
increases^glucuronidation	Penicillin V	TP53	0.7289393544197083
decreases^secretion	metribuzin	CDKN1A	0.72893887758255
increases^expression	Methylcholanthrene	HES1	0.7289372682571411
decreases^secretion	isomalathion	CDKN1A	0.728937029838562
increases^glucuronidation	Proton Pump Inhibitors	TP53	0.7289338707923889
increases^glucuronidation	H 35-25	RELA	0.7289338707923889
increases^glucuronidation	FR 139317	RELA	0.7289329767227173
increases^response to substance	Selenium	AKT1	0.72893226146698
