10074-G5	CID02836600
12-HPETE	CID05283175
12-Hydroxy-5,8,10,14-eicosatetraenoic Acid	CID05353272
12-hydroxy-5,8,10-heptadecatrienoic acid	CID05312765
12-hydroxydodecanoic acid	CID00079034
12-hydroxyellipticine	SID144087555
1-(2-hydroxyethyl)-1-nitrosourea	CID00083695
12-ketoendrin	CID00034275
1,2-linoleoylphosphatidylcholine	CID06440944
12-mesyloxynevirapine	SID341092916
1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine	CID00004431
1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane	SID99381439
1-(2-methoxyphenyl)piperazine	CID00001346
1-(2-methyl-4-methoxyphenyl)-4-((2-hydroxyethyl)amino)-6-trifluoromethoxy-2,3-dihydropyrrolo(3,2-c)quinoline	CID10113707
12-methylbenzanthracene	CID00017026
1-((2-methylbenzofuran-3-yl)methyl)-3-(thiophen-2-ylmethyl)urea	SID255511843
1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea	SID76715534
1,2-naphthoquinone	CID00010667
1,2-oleoylphosphatidylcholine	CID05313476
12-O-tetradecanoylphorbol-1,3-acetate	SID135653366
1-(2-thienyl)-2-(methylamino)propane	SID384403256
1-(2-trifluoromethoxyphenyl)-2-nitroethanone	SID162064821
1-(2-trifluoromethylphenyl)imidazole	CID00001359
12-tungstophosphoric acid	CID00452313
13,14-dihydro-15-ketoprostaglandin D2	CID05283036
13,14-dihydro-15-ketoprostaglandin E1	CID00165284
13,17,21-trimethyldocosa-12,16,20-trien-11-one	CID73023755
13,19-didesmethyl spirolide C	SID252819677
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate	SID134223382
1-(3-((2-(dimethylamino)ethyl)carbamoyl)phenyl)-3-(4-(bis(2-chloroethyl)amino)phenyl)urea	SID283537550
1,3,4,14b-tetrahydro-2,10-dimethyl-2H,10H-pyrazino(2,1-d)pyrrolo(1,2-b) (1,2,5)benzotriazepine	SID210023974
1-(3-((4-(2-fluorophenyl)piperazin-1-yl)methyl)-4-methoxyphenyl)-2,3,4,9-tetrahydro-1H-pyrido(3,4-b)indole-3-carboxylic acid	SID312525259
1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone	SID134222714
1-(3',4',5'-trimethoxyphenyl)-3-(3'',4''-dimethoxy-2'-hydroxyphenyl)propane	SID135653692
1-(3',4'-dichloro-2-fluoro(1,1'-biphenyl)-4-yl)cyclopropanecarboxylic acid	CID09996409
1-(3,4-dihydroxyphenyl)-2-thiocyanate-ethanone	CID16656807
1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one	CID135122017
1,3,4-oxadiazole	CID00097428
1-(3-(4-phenoxyphenoxy)-2-oxopropyl)indole-5-carboxylic acid	SID172819130
1-(3-(5-(1,2,4-triazol-4-yl)-1H-indol-3-yl)propyl)-4-(2-(3-fluorophenyl)ethyl)piperazine	CID06426760
1,3,5,6-tetrahydroxyxanthone	CID05479774
1-(3',5'-dihydroxyphenoxy)-7-(2'',4'',6''-trihydroxyphenoxy)-2,4,9-trihydroxydibenzo-1,4,-dioxin	SID135653514
1,3,5-tribromobenzene	CID00012279
1,3,6-trinitropyrene	CID00053229
1,3,7,8-tetrachlorodibenzo-4-dioxin	CID00039732
1,3,7-trimethyluric acid	CID00079437
1,3,8-trihydroxy-6-hydroxymethylanthraquinone	CID00361512
1,3-benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile	CID10109823
1-(3-benzyl-2-imino-2,3-dihydro-1H-benzo(d)imidazol-1-yl)-3-(p-tolyloxy)propan-2-ol	SID340125536
1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine	SID134223836
13beta-methyl 19-nor-steroid	SID53790896
1,3-bis(2-hydroxyiminomethylpyridinium)propane	SID336287029
1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole	SID112378985
1,3-bis(4-(phthalimidomethoxyiminomethyl)pyridinium-1-yl)propane	SID53786804
1,3-butadiene	CID00007845
1,3-butylene glycol	CID00007896
1-(3-chlorophenyl)biguanide	CID00001354
1-(3-chlorophenyl)piperazine	CID00001355
13-cis-12-(3'-carboxyphenyl)retinoic acid	CID06438744
13-cis-retinal	CID06436079
13-desmethylspirolide C	CID21590537
1,3-di(1H-indol-3-yl)propan-2-one	SID136368323
1,3-diacetoxytetradeca-6,12-dien-8,10-diyne	SID223258896
1,3-dichloro-1-propene	CID00024726
1,3-dichloro-2-propanol	CID00007289
1,3-dichlorobenzene	CID00010943
1,3-dicyclohexylurea	CID00004277
1,3-dihydro-1-(1-((4-(6-phenyl-1H-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one	SID135653704
1',3'-dihydro-1'-ethanol-3',3'-dimethyl-8-methoxy-6-nitro-spiro(2H-1-benzopyran-2,2'-(2H)-indole)	SID136368374
1,3-dihydroxy-2-hydroxymethylpropyl-2-ammonium 2-((R)-3-cyclo-hexyl-1-phenylpropyl)-1,3-dioxo-2,3-dihydro-1H-isoindole-5-carboxylate monohydrate	SID53787448
1,3-dihydroxy-4,4,5,5-tetramethyl-2-(4-carboxyphenyl)tetrahydroimidazole	CID02733503
1,3-dihydroxypropan-2-yl 11-(2-hexyl-5-hydroxyphenoxy)undecanoate	SID196409726
1,3-dihydroxypropan-2-yl 11-(3-hydroxy-5-(2-methyloctan-2-yl)phenoxy)undecanoate	SID196409738
1,3-dimethylthiourea	CID02723631
1, 3-di-(N-carboxybenzoyl-leucyl-leucyl)amino acetone	SID76715521
1,3-dinitropyrene	CID00053230
1,3-diphenylpropane	CID00014125
1,3-dipropyl-8-(2-(5,6-epoxy)norbornyl)xanthine	CID00153990
1,3-dipropyl-8-(2-amino-4-chlorophenyl)xanthine	CID00092411
1,3-dipropyl-8-(4-sulfophenyl)xanthine	CID00001330
1,3-dipropyl-8-cyclopentylxanthine	CID00001329
1,3-ditolylguanidine	CID00007333
13-hydroperoxy-9,11-octadecadienoic acid	CID06437847
13-hydroxy-10-oxo-11-octadecenoic acid	CID05283009
13-hydroxy-9,11-octadecadienoic acid	CID05282948
13-hydroxyellipticine	SID144087521
13-methylarachidonic acid	SID318495262
1-3-methylbutyryl-N4-6-aminohexanoyl-piperazine	SID384403262
13-oxo-9,11-octadecadienoic acid	CID05283012
1,3-propane sultone	CID00014264
1-(3-trifluoromethylphenyl)piperazine	CID00004296
14,15-dihydroxyeicosatrienoic acid	CID05283147
14,15-eicosa-5-enoic acid	SID162064773
14,15-epoxy-5,8,11-eicosatrienoic acid	CID05283205
1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one	SID160657174
1-(4-(2-(bis(4-fluorophenyl)methoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol	SID134223747
1-(4-(2-(diphenylmethoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol	SID134223710
1-(4-(4-(3,3-dibutyl-7-(dimethylamino)-2,3,4,5-tetrahydro-4-hydroxy-1,1-dioxido-1-benzothiepin-5-yl)phenoxy)butyl)-4-aza-1-azoniabicyclo(2.2.2)octane	SID53787058
1-(4-((4-phenyl-5-trifluoromethyl-2-thienyl)methoxy)benzyl)azetidine-3-carboxylic acid	SID144087377
1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one	SID210024027
1,4,5,8-naphthalenetetracarboxylic diimide	CID57367544
1-((4,5-bis(4-methoxyphenyl)-2-thiazoyl)carbonyl)-4-methylpiperazine	CID00196840
1-(4-(6-bromobenzo(1,3)dioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta(c)quinolin-8-yl)ethanone	SID112378999
1,4,7-tris(carboxymethyl)-1,4,7,10-tetraazacyclododecane	CID00107830
1-((4-(aminocarbonyl)pyridinio)trimethylene)-2-((hydroxyimino)methyl)pyridinium	SID135653334
1,4-androstadiene-3,17-dione	CID00013472
1,4-anthraquinone	CID00069457
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid	CID11245596
14-benzyloxy-4,5-epoxy-3-hydroxy-17-methylmorphinan-6-one	SID223258905
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	CID00005382
1,4-bis(2-hydroxyiminomethylpyridinium)butane	SID172080023
1,4-bis(4-hydroxyiminomethylpyridinium)butane dibromide	SID144221139
1,4-bisdesoxyquinocetone	SID283537537
1-(4-bromophenylaminocarbonyl)-4,5-diphenyl-3-pyrazolidinone	CID00132190
1-(4-carbamoylpyridinium)-4-(4-hydroxyiminomethylpyridinium)but-2-ene	SID135653778
1-(4-chlorobenzoyl)-5-methoxy-1H-indole-3-acetic acid morpholineamide	SID164186589
1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester	SID76715533
1-(4-chlorophenyl)-3-(3-(4-chlorophenyl)-5,5-dimethyl-1-(3-(5-nitrofuran-2-yl)allyldienehydrazinocarbonylmethyl)-2-oxoimidazolidin-4-yl)-1-hydroxyurea	SID134222304
1-(4-chlorophenyl)-benzo-2,5-quinone	SID252090128
1-(4-chlorophenyl)piperazine	CID00097478
1,4-cineole	CID00010106
1-((4-cyano-4-pyridin-2-ylpiperidin-1-yl)methyl)-4-oxo-4H-quinolizine-3-carboxylic acid	SID202535669
1,4-cyclohexanedimethanol	CID00007735
14-deoxy-11,12-didehydroandrographolide	CID05708351
1,4-diaminoanthraquinone	CID00031420
1,4-diaminocyclohexane	CID00018374
1,4-dibromobenzene	CID00007804
1,4-dideoxy-1,4-iminoarabinitol	CID00127716
1,4-dihydro-N-methylnicotinamide	SID405021234
1,4-dihydropyridine	CID00104822
1,4-dihydroquinone	SID144087369
1,4-dihydroxy-2-naphthoic acid	CID00000671
1,4-dihydroxy-2-nonene	CID54541195
1,4-dihydroxyanthraquinone	CID00006688
1,4-dimethoxy-2-naphthoic acid	CID11172309
1-(4-dimethylaminomethylphenyl)-8,9-dihydro-7H-2,7,9a-benzo(cd)azulen-6-one	SID316619350
1,4-dimethylnaphthalene	CID00011304
1,4-dinitrobenzene	CID00007492
1,4-dioxane	CID00031275
1,4-dithiane	CID00010452
1-(4-ethoxyphenyl)-3-(4-nitrophenyl)-prop-2-en-1-one	SID188376276
1-(4-ethylphenyl-)-N-((2-methoxyphenyl)methyl) propane-2-amine	SID376073386
1-(4-ethynylphenyl)-4-propyl-2,6,7-trioxabicyclo(2.2.2)octane	CID00115223
1-(4-fluorobenzoyl)-3-(((6-methoxy-2-naphthyl)oxy)methyl)azetidine-3-carboxylic acid	SID384667619
1-((4-fluorobenzoylamino)ethyl)-4-(7-methoxy-1-naphthyl)piperazine hydrochloride	CID00131905
(1-(4-fluorophenyl)-4a-methyl-5,6,7,8-tetrahydro-4H-benzo(f)indazol-5-yl)-(4-(trifluoromethyl)phenyl)methanol	SID160644613
1-(4-hydroxyiminomethylpyridinium)-3-(carbamoylpyridinium) propane dibromide	SID135653493
1-(4-hydroxyiminomethylpyridinium)-3-pyridiniumpropane	SID336286982
1-(4-hydroxyiminomethylpyridinium)-4-(4-carbamoylpyridinium)butane	SID85083152
1-(4-hydroxyphenyl)-1,2-diphenyl-1-butene	CID03033896
14-methoxymetopon	CID05486940
1-(4-methoxyphenyl)piperazine	CID00269722
14-methylergosta-8,24(28)-dien-3,6-diol	CID00148910
1-((4-methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole	CID00115239
1,4-naphthoquinone	CID00008530
1-(4-nitro-2-(trifluoromethyl)phenyl)-4-(3-(trifluoromethyl)phenyl)piperazine	SID223258860
1-(4-(octahydropyrido(1,2-a)pyrazin-2-yl)phenyl)-2-phenyl-1,2,3,4-tetrahydroisoquinolin-6-ol	SID53788872
14-O-methyloxymorphone	CID13559325
1,4-phenanthrenequinone	CID00098574
1,4-phenylenebis(methylene)selenocyanate	CID00005708
1,4-phenylenebis(methylene)selenocyanate, glutathione conjugate	SID85286115
14-phenylpropoxymetopon	CID10238204
1,5(10)-estradiene-3,4,17-trione	CID00114862
15,16-dihydrotanshinone I	CID11425923
1-((5-(1-aminoethyl)-2-(8-methoxy-2-(triflurormethyl)-5-quinolinyl)-4-oxazolyl) carbonyl)-4-((cyclopropylcarbonyl)amino)proline ethyl ester	SID123071375
1-(5-(2-thenyloxy)-1H-indol-3-yl)propan-2-amine	SID53788332
1-(5-(4-chlorophenyl)-4-(4-pyridinyl)-1H-pyrazol-3-yl)-4-methylpiperazine	SID144220980
15-acetyldeoxynivalenol	CID10382483
1,5-anhydrofructose	CID00126517
1-(5-azido-6-chloropyridin-3-ylmethyl)-2-nitroiminoimidazolidine	SID350085977
1,5-benzothiazepine	CID20307232
1,5-bis(2,3-dimethoxyphenyl)penta-1,4-dien-3-one	SID110250061
1,5-bis(2-bromophenyl)penta-1,4-dien-3-one	SID135653805
1-(5-chloro-1-((2,4-dimethoxyphenyl)sulfonyl)-3-(2-methoxyphenyl)-2-oxo-2,3-dihydro-1H-indol-3-yl)-4-hydroxy-N,N-dimethyl-2-pyrrolidinecarboxamide	SID53787391
1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine	CID04908365
1-(5-chloro-2,4-dimethoxyphenyl)-3-(5-methylisoxazol-3-yl)urea	CID00311434
1-(5-chloro-6-(trifluoromethoxy)-1H-benzoimidazol-2-yl)-1H-pyrazole-4-carboxylic acid	SID310264851
15-deoxy-delta(12,14)-prostaglandin J2	CID05311211
15-deoxyprostaglandin J2	CID67721097
1,5-diaminoanthraquinone	CID00008513
1,5-diaminonaphthalene	CID00016720
1,5-dihydroxyisoquinoline	CID00001340
1,5-dihydroxynaphthalene	CID00006749
1-(5-fluoropentyl)-3-(1-naphthoyl)indole	CID53393997
